"","iso3c","country","date","confirmed","deaths","recovered","ecdc_cases","ecdc_deaths","total_tests","tests_units","soc_dist","mov_rest","pub_health","gov_soc_econ","lockdown","apple_mtr_driving","apple_mtr_walking","apple_mtr_transit","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_parks","gcmr_transit_stations","gcmr_workplaces","gcmr_residential","gtrends_score","gtrends_country_score","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp","iso2c","death_by_ncd","death_by_cvd_ca_dm_30_70","diabetes_20_79","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","tourist_arrivals","lat","lng","active","confirmed_logratio","confirmed_per_100k","deaths_per_100k","mortality_rate","recovery_rate","new_cases","ave_new_cases","region_1","region_2","region_3","region_4","region_5","region_6","region_7","region","income_1","income_2","income_3","income_4","income","economy","oecs","caricom"
"1","ATG","Antigua & Barbuda",2020-10-23,122,3,107,122,3,NA,NA,11,13,30,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97118,440,218.831818181818,NA,76.885,15703.028475991,2020-10-24 23:09:28,"AG",81.8,22.6,NA,NA,NA,NA,NA,17.1175,-61.8456,12,0,125.620379332359,3.08902572128751,2.45901639344262,87.7049180327869,0,0.428571428571429,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"2","ATG","Antigua & Barbuda",2020-10-23,122,3,107,122,3,NA,NA,11,13,30,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97118,440,218.831818181818,NA,76.885,15703.028475991,2020-10-24 23:09:28,"AG",NA,NA,NA,NA,NA,NA,269000,17.1175,-61.8456,12,0,125.620379332359,3.08902572128751,2.45901639344262,87.7049180327869,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"3","ATG","Antigua & Barbuda",2020-10-23,122,3,107,122,3,NA,NA,11,13,30,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97118,440,218.831818181818,NA,76.885,15703.028475991,2020-10-24 23:09:28,"AG",NA,NA,13.1,21.9547354764307,68.9903004592352,9.05496406433411,NA,17.1175,-61.8456,12,0,125.620379332359,3.08902572128751,2.45901639344262,87.7049180327869,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"4","BHS","Bahamas",2020-10-23,6268,130,3795,6135,130,NA,NA,0,11,49,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389482,10010,38.5254745254745,NA,73.752,27477.9598590968,2020-10-24 23:09:28,"BS",73.9,15.5,NA,NA,NA,NA,NA,25.0661,-77.339,2343,0.021447246330899,1609.31699025886,33.3776657201103,2.07402680280791,60.5456285896618,133,49.2857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","Non-OECS Member State","CARICOM Member State"
"5","BHS","Bahamas",2020-10-23,6268,130,3795,6135,130,NA,NA,0,11,49,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389482,10010,38.5254745254745,NA,73.752,27477.9598590968,2020-10-24 23:09:28,"BS",NA,NA,NA,NA,NA,NA,1633000,25.0661,-77.339,2343,0,1609.31699025886,33.3776657201103,2.07402680280791,60.5456285896618,0,31,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","Non-OECS Member State","CARICOM Member State"
"6","BHS","Bahamas",2020-10-23,6268,130,3795,6135,130,NA,NA,0,11,49,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389482,10010,38.5254745254745,NA,73.752,27477.9598590968,2020-10-24 23:09:28,"BS",NA,NA,8.8,22.0757313560062,70.4409959895451,7.48327265444873,NA,25.0661,-77.339,2343,0,1609.31699025886,33.3776657201103,2.07402680280791,60.5456285896618,0,31,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","Non-OECS Member State","CARICOM Member State"
"7","BLZ","Belize",2020-10-23,3050,46,1872,2995,46,NA,NA,11,18,38,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390353,22810,16.7939938623411,NA,74.496,4149.86190551309,2020-10-24 23:09:28,"BZ",67.4,22.1,NA,NA,NA,NA,NA,17.2534,-88.7713,1132,0.0181973590519071,781.344065499689,11.7842055780281,1.50819672131148,61.3770491803279,55,23.4285714285714,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1,"Upper middle income","Service Based","Non-OECS Member State","CARICOM Member State"
"8","BLZ","Belize",2020-10-23,3050,46,1872,2995,46,NA,NA,11,18,38,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390353,22810,16.7939938623411,NA,74.496,4149.86190551309,2020-10-24 23:09:28,"BZ",NA,NA,NA,NA,NA,NA,489000,17.2534,-88.7713,1132,0,781.344065499689,11.7842055780281,1.50819672131148,61.3770491803279,0,16.1428571428571,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1,"Upper middle income","Service Based","Non-OECS Member State","CARICOM Member State"
"9","BLZ","Belize",2020-10-23,3050,46,1872,2995,46,NA,NA,11,18,38,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390353,22810,16.7939938623411,NA,74.496,4149.86190551309,2020-10-24 23:09:28,"BZ",NA,NA,17.1,29.704395764859,65.4282149746512,4.86738926048986,NA,17.2534,-88.7713,1132,0,781.344065499689,11.7842055780281,1.50819672131148,61.3770491803279,0,16.1428571428571,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1,"Upper middle income","Service Based","Non-OECS Member State","CARICOM Member State"
"10","BRB","Barbados",2020-10-23,226,7,207,224,7,NA,NA,10,22,114,36,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287025,430,666.606976744186,NA,79.081,16099.8284121592,2020-10-24 23:09:28,"BB",82.8,16.2,NA,NA,NA,NA,NA,13.0935,-59.6105,12,0.00888894741724666,78.7387858200505,2.43881195017856,3.09734513274336,91.5929203539823,2,0.571428571428571,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","Non-OECS Member State","CARICOM Member State"
